ID,Frase
1,"Estou muito animado para começar o novo projeto no trabalho!"
2,"Sinto-me frustrado porque o plano não saiu como esperado."
3,"O relatório está pronto e foi enviado para revisão."
4,"Foi ótimo ver todos os amigos na festa ontem à noite!"
5,"O trânsito estava horrível e cheguei atrasado ao compromisso."
6,"Hoje o clima está nublado, mas não choveu."
7,"Adorei o livro que você me recomendou; foi uma leitura incrível."
8,"Não consegui resolver o problema com o computador, ainda está dando erros."
9,"A reunião foi marcada para as 14h, como de costume."
10,"Estou muito grato pelo apoio que recebi durante este período difícil."
11,"Estou empolgado para a reunião de amanhã; acho que será produtiva!"
12,"Estou frustrado com a falta de comunicação da equipe."
13,"A revisão do projeto está em andamento e deve ser concluída esta semana."
14,"Foi um prazer almoçar com você hoje, a conversa foi muito agradável."
15,"Eu estava preso no trânsito por mais de uma hora e agora estou exausto."
16,"Apesar do mau tempo, consegui fazer a caminhada de manhã."
17,"Acabei de terminar um curso online e foi extremamente útil."
18,"Estou tendo problemas para acessar os arquivos no meu computador novamente."
19,"A apresentação foi agendada para segunda-feira, como planejado."
20,"Estou satisfeito com o progresso que fizemos no último mês."
21,"Eu não gostei muito do filme que assisti ontem à noite."
22,"Os documentos foram entregues e agora estão em revisão."
23,"Foi incrível ver o crescimento da empresa este ano."
24,"Estou irritado com as constantes quedas de energia na região."
25,"A conferência foi bem organizada e proveitosa."
26,"Hoje o dia foi tranquilo e produtivo no escritório."
27,"Fiquei impressionado com a qualidade do serviço ao cliente."
